Category: All categories

Month,Trail running: (United States)
2004-01,43
2004-02,44
2004-03,62
2004-04,55
2004-05,69
2004-06,68
2004-07,70
2004-08,64
2004-09,61
2004-10,55
2004-11,48
2004-12,47
2005-01,43
2005-02,51
2005-03,61
2005-04,68
2005-05,72
2005-06,72
2005-07,75
2005-08,76
2005-09,61
2005-10,57
2005-11,53
2005-12,38
2006-01,63
2006-02,53
2006-03,61
2006-04,65
2006-05,66
2006-06,70
2006-07,71
2006-08,66
2006-09,66
2006-10,55
2006-11,55
2006-12,46
2007-01,57
2007-02,49
2007-03,62
2007-04,61
2007-05,73
2007-06,75
2007-07,73
2007-08,65
2007-09,63
2007-10,60
2007-11,51
2007-12,40
2008-01,51
2008-02,54
2008-03,64
2008-04,70
2008-05,71
2008-06,74
2008-07,72
2008-08,70
2008-09,64
2008-10,61
2008-11,48
2008-12,50
2009-01,55
2009-02,57
2009-03,66
2009-04,71
2009-05,79
2009-06,77
2009-07,74
2009-08,73
2009-09,69
2009-10,62
2009-11,59
2009-12,47
2010-01,58
2010-02,54
2010-03,73
2010-04,74
2010-05,81
2010-06,82
2010-07,69
2010-08,79
2010-09,71
2010-10,65
2010-11,54
2010-12,45
2011-01,67
2011-02,68
2011-03,81
2011-04,90
2011-05,99
2011-06,96
2011-07,90
2011-08,94
2011-09,83
2011-10,77
2011-11,66
2011-12,62
2012-01,75
2012-02,76
2012-03,86
2012-04,97
2012-05,97
2012-06,99
2012-07,97
2012-08,97
2012-09,90
2012-10,75
2012-11,66
2012-12,60
2013-01,72
2013-02,73
2013-03,84
2013-04,93
2013-05,94
2013-06,98
2013-07,95
2013-08,97
2013-09,88
2013-10,79
2013-11,69
2013-12,61
2014-01,72
2014-02,71
2014-03,84
2014-04,92
2014-05,97
2014-06,97
2014-07,94
2014-08,98
2014-09,90
2014-10,77
2014-11,65
2014-12,62
2015-01,72
2015-02,66
2015-03,84
2015-04,90
2015-05,93
2015-06,96
2015-07,100
2015-08,98
2015-09,87
2015-10,76
2015-11,63
2015-12,60
2016-01,71
2016-02,69
2016-03,85
2016-04,90
2016-05,93
2016-06,95
2016-07,97
2016-08,96
2016-09,86
2016-10,76
2016-11,65
2016-12,58
2017-01,66
2017-02,73
2017-03,78
2017-04,89
2017-05,88
